"2017",62827,44902,34199,29888,5858,366,1311,78,138,54,130,50,156,8711,359,2510,2890,18,85,835,368,2571,3377,4311,224,692,249,630,335,562,734,10703,106,3,319,6710,2096,245,361,2492,1536,94,1168,956,26,287,9524,5029,204,4815,2201,880,2262,388,390,245,108,45,4884,1192,800,392,215,3691,899,171,37,384,450,247,456,84,215,280,34,429,209,46,2188
"2018",69523,49674,37702,33445,6863,369,1288,97,134,93,67,59,247,10201,412,2694,3108,74,80,897,395,2713,3627,4257,204,618,258,720,352,508,799,11972,138,2,464,7507,2362,194,510,2462,1583,130,1112,880,28,164,10490,5655,299,5343,2326,993,2510,413,304,196,207,75,5665,1595,1167,427,262,4071,1001,127,52,424,382,157,601,60,419,340,60,539,209,72,2621
"2019",76796,55605,41978,37236,7677,493,1448,128,172,142,120,84,203,10832,621,3206,3389,81,71,1122,551,2923,3945,4742,277,746,320,695,483,543,983,13628,216,0,468,8544,2462,399,616,2844,1821,307,1158,1023,49,140,11177,6057,359,5688,2579,1042,2535,454,406,272,177,56,5930,1467,914,554,276,4463,1079,119,86,497,398,109,677,87,545,272,49,436,210,29,2883
"2020",53771,40027,29652,26261,6417,232,1042,133,33,167,32,38,134,6465,425,2596,2268,25,70,940,248,2549,2430,3392,136,550,116,552,209,377,778,10374,35,0,309,6670,2149,195,351,1111,538,68,370,573,24,103,7531,4418,199,4211,1281,545,1833,253,302,270,283,65,4301,1051,746,305,230,3250,1124,66,41,480,220,19,375,27,501,147,40,359,130,12,2253
"2021",65709,47637,35841,32216,7064,250,1202,106,91,113,37,49,198,8525,307,3406,3344,29,89,1342,331,2839,2876,3624,143,751,128,573,315,342,743,11797,99,1,258,6557,3142,212,594,1570,820,164,572,750,60,53,8746,4781,248,4533,2083,985,1882,192,380,196,116,43,6865,1240,684,556,340,5625,2288,88,42,742,359,47,321,20,794,143,270,389,148,16,3121
"2022",84246,58260,44190,40070,7548,549,1418,151,163,92,43,38,209,11033,674,4031,4740,60,125,1327,482,3563,3808,4120,177,1020,207,671,373,386,898,14070,90,6,440,7613,4161,105,853,2991,1588,522,954,1403,56,110,12967,7393,308,7079,2766,961,2803,439,585,248,151,66,8362,1669,955,714,484,6693,2338,116,64,574,619,175,361,40,1193,617,95,774,206,71,3700
"2023",87454,62597,49307,44922,8320,532,1477,125,175,87,88,68,362,12005,660,4989,5312,51,109,1100,333,4384,4712,4385,297,739,354,1030,386,447,958,13290,131,6,485,7857,3184,34,691,3353,2425,629,1659,927,43,188,12883,7014,339,6674,2349,1101,3510,440,603,407,596,110,7174,1450,845,605,370,5724,1402,83,146,407,527,368,821,54,810,281,45,451,210,45,2748
"2024",102904,72021,57764,52686,9026,765,1581,131,278,101,89,102,406,13563,712,6623,6264,40,181,1382,556,5772,5078,5077,304,847,427,1162,651,595,956,14257,109,2,605,8325,3011,72,1123,3429,2581,329,2039,847,42,59,15655,8827,450,8377,2807,1463,4021,552,712,484,529,96,10031,1722,1244,478,219,8309,2256,298,150,1197,782,400,1088,90,700,481,96,676,329,68,3506
"FUENTE","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España"
"NOTAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
