"2017",126526,93853,62844,54590,14887,1135,3413,75,73,148,90,129,898,13791,370,3204,4714,153,136,1552,213,6507,3071,8254,312,1861,283,1437,551,606,2787,31010,144,20,1683,20193,5758,1662,812,3665,2566,301,1277,1096,33,309,19500,8713,967,7744,3666,2123,7114,1215,1505,996,299,298,8343,3301,2540,762,440,5036,988,604,108,387,466,117,973,117,404,158,171,1086,866,179,2264
"2018",130993,96947,64362,56172,14994,1115,3485,105,79,188,118,125,924,14349,371,3525,4734,147,153,1602,323,6760,3044,8190,130,1758,345,1253,628,785,2879,32585,174,22,1881,21063,5875,1703,953,3476,2345,263,1113,1130,37,340,20536,9438,1021,8416,3956,2418,7139,1337,1418,830,368,190,8784,2801,2056,745,494,5980,1514,591,132,550,610,99,1057,166,428,185,168,1168,918,204,2531
"2019",139412,102330,68717,59860,15231,1155,3842,81,118,199,158,91,1047,15253,337,3978,5329,147,157,1738,352,7260,3356,8857,175,1864,325,2081,627,561,2817,33611,147,18,1638,21907,6282,1841,833,3580,2371,231,1244,1208,40,325,22409,10560,1048,9510,4306,2481,7543,1230,1574,1024,309,170,9872,3149,2280,869,555,6719,1558,590,146,773,594,113,1292,180,485,232,256,1168,928,178,2885
"2020",77920,55856,39441,35343,7950,325,2219,113,27,94,33,38,461,9239,292,2293,2754,80,46,1797,269,4817,2467,4098,105,896,130,931,313,207,1178,16415,16,8,588,9775,4560,430,436,1948,1115,101,618,833,19,166,14158,6669,507,6160,2881,1635,4608,634,959,872,202,80,5550,1705,1303,402,239,3844,843,257,84,747,197,74,627,76,546,77,68,378,289,40,2546
"2021",99238,72887,53204,47475,11426,542,3169,129,39,161,70,101,592,11926,362,2815,3589,96,76,2771,394,6044,3128,5730,132,1280,222,1221,494,344,1517,19682,106,13,827,11253,5936,413,495,2632,1302,203,749,1330,45,167,16835,8350,573,7773,3646,1855,4839,531,1031,870,211,190,6454,2989,2483,506,320,3465,928,177,95,505,306,61,514,72,516,60,47,318,227,40,2623
"2022",156535,114128,79191,69862,16871,1107,4641,181,96,323,99,150,1004,17506,464,4837,6008,170,231,2606,467,8956,4090,9329,160,2130,340,2130,729,506,2631,34937,142,18,1814,22901,7876,459,825,4001,2333,308,1401,1668,16,297,28170,14352,1079,13267,5125,2635,8693,1308,1572,1342,382,281,9138,4062,3024,1038,556,5075,788,457,169,413,750,116,742,138,756,170,134,925,738,98,3316
"2023",179952,131034,94349,83248,19852,1428,4972,177,151,243,167,147,1088,20446,576,6199,7091,205,316,4141,420,10491,5002,11101,192,2109,423,2953,1007,585,3144,36604,206,32,2365,24184,7427,505,882,4282,2654,288,1778,1629,145,392,31810,16778,1438,15335,5755,3549,9277,1522,1618,1356,490,273,10536,4416,3186,1230,757,6118,1169,549,304,391,706,88,929,171,717,186,252,1627,1368,185,2991
"2024",203109,148857,107218,94710,22356,1661,5905,378,141,348,167,215,1203,22858,776,7764,7971,166,276,4161,441,12281,5506,12508,296,2449,660,3304,1250,703,3168,41564,235,31,2703,27663,8351,505,1017,4286,2738,326,1715,1548,44,466,36739,20339,1367,18969,6761,4217,9639,1527,1998,1258,514,458,11258,4058,3147,911,563,7201,1648,663,314,396,779,270,1236,155,642,127,311,1755,1415,256,3151
"FUENTE","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España","Banco de España"
"NOTAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
