year,flujo,macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,lv4,lit_lv4,total_millones,top_paises_lv1,tva_lv1,top_paises_lv2,tva_lv2,top_paises_lv3,tva_lv3,top_paises_lv4,tva_lv4
2025,E,Agroalimentario,20,Vinos y bebidas,2011,Vinos y bebidas,201119,Alcohol,NA,NA,428.41,"Francia, Alemania, Reino Unido",2.5,"Francia, Alemania, Reino Unido",2.5,"Francia, Grecia, Italia",5.5,"Francia, Grecia, Italia",5.5
2025,E,Agroalimentario,20,Vinos y bebidas,2011,Vinos y bebidas,201120,Vinagre y sucedáneos,NA,NA,70.07,"Francia, Alemania, Reino Unido",2.5,"Francia, Alemania, Reino Unido",2.5,"Estados Unidos, Reino Unido, Francia",4.4,"Estados Unidos, Reino Unido, Francia",4.4
2025,E,Agroalimentario,21,Tabaco,2111,Tabaco,211111,Tabaco,NA,NA,548.23,"Indeterminado Extra., Portugal, Alemania",22.5,"Indeterminado Extra., Portugal, Alemania",22.5,"Indeterminado Extra., Portugal, Alemania",22.5,"Indeterminado Extra., Portugal, Alemania",22.5
2025,E,Agroalimentario,22,Grasas y aceites,2211,Grasas y aceites,221111,Aceite de soja,NA,NA,294.02,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Estados Unidos, Portugal",-12.4,"Marruecos, Italia, Francia",-1.8,"Marruecos, Italia, Francia",-1.8
2025,E,Agroalimentario,22,Grasas y aceites,2211,Grasas y aceites,221112,Aceite de oliva,NA,NA,5143.8,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Estados Unidos, Portugal",-21.8,"Italia, Estados Unidos, Portugal",-21.8
2025,E,Agroalimentario,22,Grasas y aceites,2211,Grasas y aceites,221113,Aceite de girasol,NA,NA,366.76,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Estados Unidos, Portugal",-12.4,"Portugal, Francia, Estados Unidos",1.4,"Portugal, Francia, Estados Unidos",1.4
2025,E,Agroalimentario,22,Grasas y aceites,2211,Grasas y aceites,221114,Margarina,NA,NA,374.59,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Estados Unidos, Portugal",-12.4,"Francia, Portugal, Estados Unidos",10.5,"Francia, Portugal, Estados Unidos",10.5
2025,E,Agroalimentario,22,Grasas y aceites,2211,Grasas y aceites,221115,Las demás grasas y aceites animales,NA,NA,118.27,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Francia, Países Bajos",4.8,"Italia, Francia, Países Bajos",4.8
2025,E,Agroalimentario,22,Grasas y aceites,2211,Grasas y aceites,221116,"Las demas grasas y aceites vegetales, y de orig",NA,NA,862.66,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Estados Unidos, Portugal",32.8,"Italia, Estados Unidos, Portugal",32.8
2025,E,Agroalimentario,22,Grasas y aceites,2211,Grasas y aceites,221117,Residuos,NA,NA,455.01,"Italia, Estados Unidos, Portugal",-12.4,"Italia, Estados Unidos, Portugal",-12.4,"Suecia, Portugal, Países Bajos",31.1,"Suecia, Portugal, Países Bajos",31.1
