"year","flujo","macro_sector","lv1","lit_lv1","lv2","lit_lv2","lv3","lit_lv3","total_millones","top_paises_lv1","tva_lv1","top_paises_lv2","tva_lv2","top_paises_lv3","tva_lv3"
2021,"E","Agroalimentario","12","Lácteos","1211","Lácteos","121114","Yogures y lactosueros",178.18,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Francia, China, Portugal",NA
2021,"E","Agroalimentario","13","Pesca","1311","Pesca","131111","Peces vivos",61.52,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Francia, Portugal",NA
2021,"E","Agroalimentario","13","Pesca","1311","Pesca","131112","Pescado fresco",641.93,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA
2021,"E","Agroalimentario","13","Pesca","1311","Pesca","131113","Pescado congelado",1053.8,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA
2021,"E","Agroalimentario","13","Pesca","1311","Pesca","131114","Moluscos, crustáceos y otros invertebrados acuá",1563.67,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA
2021,"E","Agroalimentario","13","Pesca","1311","Pesca","131115","Los demás preparados de productos de la pesca",123.56,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA
2021,"E","Agroalimentario","13","Pesca","1311","Pesca","131116","Conservas de pescados",886.45,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Italia, Francia, Portugal",NA
2021,"E","Agroalimentario","13","Pesca","1311","Pesca","131117","Conservas de moluscos y crustaceos",252.24,"Italia, Portugal, Francia",NA,"Italia, Portugal, Francia",NA,"Estados Unidos, Francia, Italia",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141111","Trigo",116.81,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Mauritania",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141112","Cebada",71.53,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Argelia, Francia",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141113","Maiz",72.5,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Francia, Portugal, Reino Unido",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141114","Arroz",161.63,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Bélgica, Reino Unido, Francia",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141115","Otros cereales",31.62,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Estados Unidos",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141116","Harina de trigo",37.83,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, República Dominicana",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141117","Otras harinas",16.68,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Omán",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141118","Malta",33.25,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Portugal, Brasil, Túnez",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141119","Almidón",67.18,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Francia, Portugal, Marruecos",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141120","Grañones y sémola de trigo",39.9,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Francia, Côte d’Ivoire, Mali",NA
2021,"E","Agroalimentario","14","Cereales y productos de molinera","1411","Cereales","141121","Otros productos de cereales",143.75,"Portugal, Francia, Bélgica",NA,"Portugal, Francia, Bélgica",NA,"Francia, Reino Unido, Portugal",NA
2021,"E","Agroalimentario","15","Industrias alimentarias y piensos","1511","Industrias alimentarias","151111","Residuos de porductos alimentarios",463.29,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Francia, Italia, Portugal",NA
2021,"E","Agroalimentario","15","Industrias alimentarias y piensos","1511","Industrias alimentarias","151112","Piensos",1018.1,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA,"Francia, Portugal, Italia",NA
2021,"E","Agroalimentario","16","Flores y plantas","1611","Flores y plantas","161111","Flores y plantas",571.35,"Francia, Países Bajos, Portugal",NA,"Francia, Países Bajos, Portugal",NA,"Francia, Países Bajos, Portugal",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171112","Pimiento",1325.6,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Reino Unido, Francia",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171113","Pepino",724.28,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Reino Unido, Países Bajos",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171114","Lechuga",881.04,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171115","Patata",113.19,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Portugal, Alemania, Bélgica",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171116","Cebolla",141.91,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Reino Unido, Portugal",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171117","Ajos",409.34,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Estados Unidos, Italia",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171118","Zanahoria",83.13,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Francia, Alemania, Países Bajos",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171119","Las demas hortalizas frescas",1342.47,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA
2021,"E","Agroalimentario","17","Hortalizas y legumbres","1711","Hortalizas y legumbres","171120","Hortalizas congeladas",671.66,"Alemania, Francia, Reino Unido",NA,"Alemania, Francia, Reino Unido",NA,"Francia, Alemania, Reino Unido",NA
