macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,codigo_nc8
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044250
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044290
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044310
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02044390
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045011
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045015
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045019
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045031
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045039
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045051
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045053
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045055
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045059
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045071
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111212,Carne de ovino-caprino,02045079
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111213,Preparaciones de  ovino-caprino,02109921
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111213,Preparaciones de  ovino-caprino,02109929
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111213,Preparaciones de  ovino-caprino,16029091
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111213,Preparaciones de  ovino-caprino,16029095
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111213,Preparaciones de  ovino-caprino,16029099
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111214,Despojos,02068099
Agroalimentario,11,Sectores Cárnicos,1112,Ovino-caprino,111214,Despojos,02069099
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111311,Animales vivos de porcino,01031000
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111311,Animales vivos de porcino,01039110
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111311,Animales vivos de porcino,01039190
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111311,Animales vivos de porcino,01039211
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111311,Animales vivos de porcino,01039219
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111311,Animales vivos de porcino,01039290
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031110
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031190
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031211
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031219
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031290
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031911
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031913
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031915
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031955
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031959
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111312,Carne fresca y refrigerada de porcino,02031990
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032110
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032190
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032211
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032219
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032290
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032911
Agroalimentario,11,Sectores Cárnicos,1113,Porcino,111313,Carne congelada de  porcino,02032913
